Mã hàng,Tên hàng,1/1/2025,1/2/2025,1/3/2025,1/4/2025,1/5/2025,1/6/2025,1/7/2025,1/8/2025,1/9/2025,1/10/2025,1/11/2025,1/12/2025,13/01/2025,14/01/2025,15/01/2025,16/01/2025,17/01/2025,18/01/2025,19/01/2025,20/01/2025,21/01/2025,22/01/2025,23/01/2025,24/01/2025,25/01/2025,26/01/2025,27/01/2025,28/01/2025,29/01/2025,30/01/2025,31/01/2025,2/1/2025,2/2/2025,2/3/2025,2/4/2025,2/5/2025,2/6/2025,2/7/2025,2/8/2025,2/9/2025,2/10/2025,2/11/2025,2/12/2025,13/02/2025,14/02/2025,15/02/2025,16/02/2025,17/02/2025,18/02/2025,19/02/2025,20/02/2025,21/02/2025,22/02/2025,23/02/2025,24/02/2025,25/02/2025,26/02/2025,27/02/2025,28/02/2025,3/1/2025,3/2/2025,3/3/2025,3/4/2025,3/5/2025,3/6/2025,3/7/2025,3/8/2025,3/9/2025,3/10/2025,3/11/2025,3/12/2025,13/03/2025,14/03/2025,15/03/2025,16/03/2025,17/03/2025,18/03/2025,19/03/2025,20/03/2025,21/03/2025,22/03/2025,23/03/2025,24/03/2025,25/03/2025,26/03/2025,27/03/2025,28/03/2025,29/03/2025,30/03/2025,31/03/2025,4/1/2025,4/2/2025,4/3/2025,4/4/2025,4/5/2025,4/6/2025,4/7/2025,4/8/2025,4/9/2025,4/10/2025,4/11/2025,4/12/2025,13/04/2025,14/04/2025,15/04/2025,16/04/2025,17/04/2025,18/04/2025,19/04/2025,20/04/2025,21/04/2025,22/04/2025,23/04/2025,24/04/2025,25/04/2025,26/04/2025,27/04/2025,28/04/2025,29/04/2025,30/04/2025,Total
ITEM-X8FZ​,Full Topping - Trà Sữa Truyền Thống,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,5,5,10,20,12,5,6,4,4,1,11,19,12,12,19,10,9,7,28,9,17,9,23,10,25,21,9,8,19,15,8,17,18,2,8,13,8,6,3,18,13,3,8,7,3,6,2,5,2,5,5,4,4,3,7,9,3,5,7,25,7,16,12,19,11,5,8,8,14,40,14,14,7,14,9,8,9,14,13,13,13,12,13,15,1,911
ITEM-ISW6​,Full Pudding - Trà Sữa Truyền Thống,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,8,5,8,12,1,3,5,3,3,4,3,5,12,7,9,9,7,6,13,6,17,4,9,15,10,18,6,9,10,8,6,13,3,8,4,3,2,4,5,7,6,3,5,8,2,3,7,1,6,0,2,5,2,0,6,2,4,12,7,12,7,14,14,26,10,6,11,17,8,3,1,5,6,19,8,5,12,10,10,10,12,10,1,9,3,629
ITEM-BBGY​,TS Truyền thống L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,11,13,13,12,12,10,16,30,31,32,25,16,30,35,6,26,17,16,11,31,11,15,16,23,22,16,18,10,9,13,20,16,16,17,3,14,16,5,7,11,15,5,6,7,10,6,10,8,9,2,3,9,13,12,10,9,5,7,14,16,9,15,2,3,14,23,6,11,15,9,5,10,8,17,12,8,22,12,3,18,10,8,18,9,9,3,1147
ITEM-NLV2​,Buffet Topping - Trà Truyền Thống,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,5,4,1,3,4,8,7,7,7,3,5,4,3,5,16,5,2,2,4,6,4,5,7,11,9,11,7,9,17,15,23,4,0,10,6,1,9,8,6,7,6,6,6,6,11,2,1,3,5,7,9,6,3,4,12,4,0,4,8,3,3,8,2,0,4,1,2,5,8,7,5,2,6,2,3,8,4,3,5,4,5,23,14,2,510
ITEM-L6CT​,Matcha Latte L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,2,3,3,1,26,25,33,42,38,22,25,43,3,5,8,6,1,6,3,6,4,5,4,5,2,3,1,6,6,9,11,4,4,1,5,7,3,6,6,3,0,3,6,6,5,6,8,0,8,8,2,6,5,5,1,4,4,4,11,2,11,0,13,9,13,9,10,16,3,8,3,10,5,9,8,6,6,7,6,8,16,13,9,5,709
ITEM-NS6P​,TS Truyền thống M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,20,6,10,10,15,14,8,18,10,10,9,7,10,15,24,20,15,26,16,14,24,18,11,14,16,17,8,28,23,14,12,10,11,8,17,28,13,24,9,6,7,36,15,10,10,2,3,10,9,13,7,15,10,6,9,17,14,5,12,10,8,3,26,21,12,10,15,14,11,21,19,22,31,14,15,15,23,13,17,12,13,18,10,20,17,2,1224
ITEM-2R9A​,TS Thái xanh M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,8,6,5,14,7,5,15,5,4,8,3,9,9,10,9,12,13,10,9,15,21,5,18,8,5,8,6,14,9,7,13,9,4,7,16,8,8,7,5,2,15,12,5,5,2,8,3,14,3,4,4,4,5,1,13,7,1,5,6,5,7,11,7,12,7,5,3,7,12,10,17,8,16,8,7,7,8,4,5,6,3,2,12,10,2,689
ITEM-SG9B​,TS Thái xanh L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,8,5,10,5,16,7,15,17,17,13,13,16,21,0,3,3,11,4,7,9,11,6,9,8,10,13,4,4,12,8,11,6,7,2,5,2,4,4,9,7,7,1,3,7,1,2,5,1,0,1,3,5,4,6,5,3,6,10,1,18,2,4,1,6,5,6,3,6,4,2,10,7,6,3,9,4,7,4,1,4,1,3,3,5,17,564
ITEM-LRKU​,Trân châu Đen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,26,18,17,14,19,13,18,46,37,38,31,19,28,47,17,26,22,24,23,25,23,23,15,22,30,19,8,25,21,19,18,22,14,20,20,27,17,15,12,11,17,25,23,15,19,5,8,14,23,10,15,17,14,19,19,28,19,11,30,13,10,7,20,35,22,28,17,16,21,28,26,24,19,26,25,23,32,24,24,20,24,15,26,29,24,13,1842
ITEM-01F8​,TS Olong lài M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,3,3,8,7,3,8,2,2,5,2,2,8,2,5,9,1,4,8,11,12,5,4,10,4,5,12,12,1,3,6,2,4,9,9,7,2,3,1,3,8,17,1,3,3,1,1,13,5,3,1,2,3,1,20,7,2,2,2,3,2,15,4,7,4,7,2,4,11,6,4,2,8,5,2,11,2,10,6,11,2,7,16,7,2,475
