Mã hàng,Tên hàng,0h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,Total
ITEM-X8FZ​,Full Topping - Trà Sữa Truyền Thống,0,0,0,0,0,0,0,0,0,4,31,78,56,109,146,106,69,51,76,73,70,42,0,0,911
ITEM-ISW6​,Full Pudding - Trà Sữa Truyền Thống,0,0,0,0,0,0,0,0,0,0,23,41,48,102,91,84,31,37,43,51,42,36,0,0,629
ITEM-BBGY​,TS Truyền thống L,0,0,0,0,0,0,0,0,0,1,42,71,129,114,147,88,142,81,90,94,101,47,0,0,1147
ITEM-NLV2​,Buffet Topping - Trà Truyền Thống,0,0,0,0,0,0,0,0,1,0,20,29,35,49,37,38,85,42,46,51,51,26,0,0,510
ITEM-L6CT​,Matcha Latte L,0,0,0,0,0,0,0,0,0,6,47,53,71,67,52,42,84,81,44,63,56,43,0,0,709
ITEM-NS6P​,TS Truyền thống M,0,0,0,0,0,0,0,0,1,4,22,66,99,190,167,112,105,95,76,129,113,44,1,0,1224
ITEM-2R9A​,TS Thái xanh M,0,0,0,0,0,0,0,0,0,3,14,47,52,93,114,62,89,46,33,59,48,28,1,0,689
ITEM-SG9B​,TS Thái xanh L,0,0,0,0,0,0,0,0,0,1,24,70,47,63,72,51,65,34,33,29,48,27,0,0,564
ITEM-LRKU​,Trân châu Đen,0,0,0,0,0,0,0,0,0,6,77,116,192,203,180,140,219,130,121,197,181,80,0,0,1842
ITEM-01F8​,TS Olong lài M,0,0,0,0,0,0,0,0,0,1,21,27,37,52,58,35,61,38,44,38,36,27,0,0,475
ITEM-9UTH​,Matcha Latte M,0,0,0,0,0,0,0,0,0,2,10,31,26,46,47,27,50,35,20,40,43,15,0,0,392
ITEM-NPYR​,Sữa tươi trân châu đường đen L,0,0,0,0,0,0,0,0,0,0,21,26,19,28,25,26,64,32,40,27,39,20,0,0,367
ITEM-FNM5​,TS Olong lài L,0,0,0,0,0,0,0,0,0,3,9,26,46,32,35,33,30,43,19,35,34,13,0,0,358
ITEM-SMGJ​,Sữa tươi trân châu đường đen M,0,0,0,0,0,0,0,0,0,4,8,35,13,34,35,34,61,25,17,35,24,14,0,0,339
ITEM-8MWV​,Thạch trà thái,0,0,0,0,0,0,0,0,0,1,19,72,60,92,125,70,59,39,43,42,38,27,0,0,687
ITEM-YHEH​,TS Socola L,0,0,0,0,0,0,0,0,0,1,26,17,18,17,22,16,29,21,21,37,19,10,0,0,254
ITEM-MN77​,Chân mèo,0,0,0,0,0,0,0,0,0,1,19,52,45,67,76,63,77,49,62,59,52,35,1,0,658
ITEM-CYVO​,TS Socola M,0,0,0,0,0,0,0,0,1,4,4,13,18,44,33,32,34,18,17,25,26,17,0,0,286
